#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"Name","Caption","Vendor","InstallLocation","InstallDate","InstallSource","IdentifyingNumber","PackageName","Version","HelpLink"
"aaAdminAccountInfo","aaAdminAccountInfo","Invensys Systems",,"20230913","E:\Company Name\SP_2023\SP_2023\InstallFiles\CD-ApplicationServer\","{11C1C6F7-644D-4C63-AC65-5852B95E828C}","aaAdminAccountInfoLegacy.msi","2.1.00000","http://www.wonderware.com/support"
"AppServerDocs11","AppServerDocs","AVEVA Software, LLC",,"20230913","E:\Company Name\SP_2023\SP_2023\InstallFiles\CD-ApplicationServer\","{30F630D4-9587-4BEA-84BD-3B74315B0C85}","AppServerDocInstall.msi","23.0.001",
"AVEVA Application Server 2023 P01","AVEVA Application Server 2023 P01","AVEVA Software, LLC","C:\Program Files (x86)\ArchestrA\","20230913","E:\Company Name\SP_2023\SP_2023\InstallFiles\CD-ApplicationServer\","{4BA5E037-756F-4D10-8A25-100DAF06D439}","Setup.msi","23.0.001","https://sw.aveva.com/support"
"AVEVA Auto-Build Core","AVEVA Auto-Build Core","AVEVA Software, LLC",,"20230901","E:\Company Name\SP_2023\SP_2023\InstallFiles\CD-OIEngine\","{700E7F37-D809-49B2-8709-C72BF3232688}","Setup-AutoBuild.msi","7.4.0","https://sw.aveva.com/support"
"AVEVA Communication Drivers Pack 2023","AVEVA Communication Drivers Pack 2023","AVEVA Software, LLC",,"20230901","E:\Company Name\SP_2023\SP_2023\InstallFiles\CD-OIEngine\","{9641532D-8501-470F-850C-C53DE3A0BA8C}","Setup.msi","7.4.0","https://sw.aveva.com/support"
"AVEVA Core x64","AVEVA Core x64","AVEVA Software, LLC",,"20230901","E:\Company Name\SP_2023\SP_2023\InstallFiles\CD-OIEngine\","{2D935178-6681-4E2B-A562-2D18DEAB320C}","Corex64.msi","1.4.0","https://sw.aveva.com/support"
"AVEVA Enterprise License Manager","AVEVA Enterprise License Manager","AVEVA Software, LLC","C:\Program Files (x86)\Common Files\ArchestrA\Licensing Framework\License Manager\","20230901","E:\Company Name\SP_2023\SP_2023\InstallFiles\CD-Licensing\AELicenseManager\","{792B3B38-6BAA-4937-80E4-F79DACF95CAC}","Setup.msi","3.7.002","http://www.wonderware.com/support"
"AVEVA Enterprise Licensing Platform","AVEVA Enterprise Licensing Platform","AVEVA Software, LLC",,"20230913","E:\Company Name\SP_2023\SP_2023\InstallFiles\CD-LicAPI\x64\","{B0851A30-4E72-4986-85BC-8D466DEB84B7}","Setup.msi","3.7.002",
"AVEVA Enterprise Licensing Platform(x86)","AVEVA Enterprise Licensing Platform(x86)","AVEVA Software, LLC",,"20230901","E:\Company Name\SP_2023\SP_2023\InstallFiles\CD-LicAPI\x86\","{00BB0E7F-7B7F-4047-87B8-52FC8C9EDF1C}","Setup.msi","3.7.002",
"AVEVA Help","AVEVA Help","AVEVA Software, LLC",,"20230901","E:\Company Name\SP_2023\SP_2023\InstallFiles\CD-AVEVAHelp\x64\","{5A1BD7B4-9BDF-48FA-892A-74017DE44C27}","Setup.msi","1.1.000",
"AVEVA Historian","AVEVA Historian","AVEVA Software, LLC.","C:\Program Files (x86)\Wonderware\","20230913","E:\Company Name\SP_2023\SP_2023\InstallFiles\CD-Historian\","{10FC14FA-86BC-407E-B3C3-DE9AE3FE9866}","Setup.msi","23.0.001","https://sw.aveva.com/support"
"AVEVA Historian Search","AVEVA Historian Search","AVEVA Software, LLC.","C:\Program Files (x86)\Wonderware\","20230901","E:\Company Name\SP_2023\SP_2023\InstallFiles\CD-Historian\","{CB5BF1BB-54F0-4E7B-83D3-AE0F772F4732}","SearchSetup.msi","23.0.000","https://sw.aveva.com/support"
"AVEVA HistorianClient","AVEVA HistorianClient","AVEVA Software, LLC.","C:\Program Files (x86)\Wonderware\","20230913","E:\Company Name\SP_2023\SP_2023\InstallFiles\CD-HistorianClient\x86\","{99A1A9F8-DD6B-42FE-B18F-C859CBC9189D}","Setup.msi","23.0.001","https://sw.aveva.com/support"
"AVEVA HistorianClientDocs","AVEVA HistorianClientDocs","AVEVA Software, LLC.","C:\Program Files (x86)\Wonderware\","20230901","E:\Company Name\SP_2023\SP_2023\InstallFiles\CD-HistorianClient\x86\","{636B7D99-875A-4DF6-A4E2-AE71B3BBBE17}","HistorianClientDocInstall.msi","23.0.000",
"AVEVA HistorianDocs","AVEVA HistorianDocs","AVEVA Software, LLC.","C:\Program Files (x86)\Wonderware\","20230901","E:\Company Name\SP_2023\SP_2023\InstallFiles\CD-Historian\","{9B8842AB-5E93-41BD-AF33-CAFE50DF4EE5}","HistorianDocInstall.msi","23.0.000",
"AVEVA InTouch HMI","AVEVA InTouch HMI","AVEVA Software, LLC","C:\Program Files (x86)\Wonderware\InTouch\","20230913","E:\Company Name\SP_2023\SP_2023\InstallFiles\CD-Intouch\","{1E7EB818-2BE4-437D-A6E9-D433A48398B3}","Setup.msi","23.0.001","https://sw.aveva.com/support"
"AVEVA InTouch HMI Common","AVEVA InTouch HMI Common","AVEVA Software, LLC",,"20230913","E:\Company Name\SP_2023\SP_2023\InstallFiles\CD-InTouchCommon\","{E38390E8-A1D1-4848-B2FF-EDFEC843D563}","Setup.msi","23.0.001",
"AVEVA InTouch HMI Docs","AVEVA InTouch HMI Docs","AVEVA Software, LLC","C:\Program Files (x86)\Wonderware\InTouch\","20230913","E:\Company Name\SP_2023\SP_2023\InstallFiles\CD-Intouch\","{790B196E-86B5-4D17-8E01-D885253E16A9}","InTouchDocInstall.msi","23.0.000",
"AVEVA InTouchDataService","AVEVA InTouchDataService","AVEVA Group Plc",,"20230913","E:\Company Name\SP_2023\SP_2023\InstallFiles\CD-InTouchCommon\","{870AE42B-5FA2-4DAF-B2F8-BB3EA578C9DD}","InTouchIDataSetup.msi","23.0.0.0",
"AVEVA InTouchOPCUAService","AVEVA InTouchOPCUAService","AVEVA Group Plc",,"20230913","E:\Company Name\SP_2023\SP_2023\InstallFiles\CD-InTouchCommon\","{F42CFC08-5A63-4694-858B-48183B468650}","InTouchOPCUAService.msi","23.0.000",
"AVEVA License Mode Configurator Plugin","AVEVA License Mode Configurator Plugin","AVEVA Software, LLC",,"20230901","E:\Company Name\SP_2023\SP_2023\InstallFiles\CD-LicenseMode\","{4308769D-0729-40EB-8A74-1078029C7BFB}","LicenseMode.msi","23.0.000",
"AVEVA OMI","AVEVA OMI","AVEVA Group plc",,"20230913","E:\Company Name\SP_2023\SP_2023\InstallFiles\CD-NGVisualization\","{7875B78D-6FAF-4539-B576-3FE011E5A303}","AcfDevToolkit.msi","23.0.001","https://sw.aveva.com/support"
"AVEVA OMI - Base Applications","AVEVA OMI - Base Applications","AVEVA Group plc",,"20230913","E:\Company Name\SP_2023\SP_2023\InstallFiles\CD-NGVisualization\","{4146813C-654A-4F3D-997B-1FC95DEF6408}","AcfBaseApplication.msi","23.0.001","https://sw.aveva.com/support"
"AVEVA OMI - Mobile Access","AVEVA OMI - Mobile Access","AVEVA Group plc",,"20230913","E:\Company Name\SP_2023\SP_2023\InstallFiles\CD-NGVisualization\","{E159931F-A9A1-4F1D-B25A-77881F5C4502}","AcfMobileAccess.msi","23.0.001","https://sw.aveva.com/support"
